"ID","TruePart"
"07deer",2016-05-29 13:00:00
"08deer",2016-05-22 10:00:00
"10deer",2017-05-20 02:00:00
"19deer",2017-07-22 10:00:00
"12deer",2017-05-24 06:00:00
"18deer",2017-05-25 00:00:00
"11deer",2017-05-18 01:00:00
"05deer",2016-05-27 01:00:00
"15deer",2017-05-23 10:00:00
"04deer",2016-05-23 09:00:00
"06deer",2016-06-13 12:00:00
"09deer",2016-05-23 12:00:00
"13deer",2017-05-30 03:00:00
"14deer",2017-05-27 05:00:00
"17deer",2017-05-23 07:00:00
"16deer",2017-05-15 12:00:00
"03deer",2015-05-15 22:00:00
"02deer",2015-05-31 22:00:00
"01deer",2015-05-23 22:00:00
