"ID","TruePart"
"01elk",2020-06-27 02:00:00
"02elk",2020-07-09 10:00:00
"03elk",2020-05-27 20:00:00
"04elk",2020-06-14 00:00:00
"05elk",2020-06-11 04:00:00
"06elk",2020-06-02 23:00:00
"07elk",2020-06-08 19:00:00
"08elk",2020-06-14 05:00:00
"09elk",2020-06-06 17:00:00
"10elk",2020-06-27 00:00:00
"11elk",2020-06-02 17:00:00
"12elk",2020-05-28 21:00:00
"13elk",2020-06-30 22:00:00
"14elk",2020-08-03 12:00:00
"15elk",2020-06-19 04:00:00
"16elk",2020-06-07 12:00:00
"17elk",2020-07-04 21:00:00
"18elk",2020-06-17 06:00:00
"19elk",2020-06-08 00:00:00
"20elk",2020-07-29 10:00:00
"21elk",2020-07-12 15:00:00
"22elk",2020-06-13 01:00:00
"23elk",2020-07-13 20:00:00
"24elk",2020-07-09 20:00:00
"25elk",2020-06-15 21:00:00
"26elk",2020-06-06 04:00:00
"27elk",2020-06-02 19:00:00
"28elk",2020-07-08 09:00:00
"29elk",2020-06-01 18:00:00
"30elk",2020-06-08 22:00:00
"31elk",2020-06-03 00:00:00
"32elk",2020-06-11 20:00:00
"33elk",2020-06-12 20:00:00
"34elk",2020-06-26 15:00:00
"35elk",2020-07-15 20:00:00
"36elk",2020-08-02 12:00:00
"37elk",2020-06-22 20:00:00
